date,portfolio_value,seed,agent,uncertainty
2022-12-20,890011.8425350446,7,ppo_with_uncertainty_guard,0.5398299
2022-12-21,901559.2141925145,7,ppo_with_uncertainty_guard,0.534279
2022-12-22,890377.1798222943,7,ppo_with_uncertainty_guard,0.4414162
2022-12-23,894821.5030763635,7,ppo_with_uncertainty_guard,0.45321196
2022-12-27,891769.5263190746,7,ppo_with_uncertainty_guard,0.41077033
2022-12-28,882269.8130686807,7,ppo_with_uncertainty_guard,0.39989972
2022-12-29,895849.535005217,7,ppo_with_uncertainty_guard,0.43956587
2022-12-30,893827.7451491514,7,ppo_with_uncertainty_guard,0.35965532
2023-01-03,890609.5812215911,7,ppo_with_uncertainty_guard,0.33490732
2023-01-04,896409.2718014416,7,ppo_with_uncertainty_guard,0.33698896
2023-01-05,887749.7393351423,7,ppo_with_uncertainty_guard,0.2981323
2023-01-06,904904.6380300949,7,ppo_with_uncertainty_guard,0.33548555
2023-01-09,904456.307169957,7,ppo_with_uncertainty_guard,0.24285407
2023-01-10,909889.0185210896,7,ppo_with_uncertainty_guard,0.21741222
2023-01-11,919855.0309424492,7,ppo_with_uncertainty_guard,0.1812154
2023-01-12,922767.5394703452,7,ppo_with_uncertainty_guard,0.123393
2023-01-13,925833.2442593283,7,ppo_with_uncertainty_guard,0.10303952
2023-01-17,924383.1589457835,7,ppo_with_uncertainty_guard,0.097719856
2023-01-18,911909.3462076429,7,ppo_with_uncertainty_guard,0.12628412
2023-01-19,906268.1093457802,7,ppo_with_uncertainty_guard,0.23013315
2023-01-20,920585.5423822355,7,ppo_with_uncertainty_guard,0.31455386
2023-01-23,930040.8285696512,7,ppo_with_uncertainty_guard,0.26829594
2023-01-24,929173.4953970343,7,ppo_with_uncertainty_guard,0.20376614
2023-01-25,929460.3680053182,7,ppo_with_uncertainty_guard,0.19139214
2023-01-26,938231.6053083059,7,ppo_with_uncertainty_guard,0.19509278
2023-01-27,940098.3106435162,7,ppo_with_uncertainty_guard,0.15889595
2023-01-30,929828.8542325485,7,ppo_with_uncertainty_guard,0.15056953
2023-01-31,941549.5244856863,7,ppo_with_uncertainty_guard,0.22088157
2023-02-01,950033.9968196452,7,ppo_with_uncertainty_guard,0.19197036
2023-02-02,961911.8272274791,7,ppo_with_uncertainty_guard,0.14848793
2023-02-03,953113.7625105537,7,ppo_with_uncertainty_guard,0.08233909
2023-02-06,948021.8234396899,7,ppo_with_uncertainty_guard,0.12732492
2023-02-07,958702.0036588209,7,ppo_with_uncertainty_guard,0.19116086
2023-02-08,949521.9436274881,7,ppo_with_uncertainty_guard,0.17254204
2023-02-09,942281.9221414875,7,ppo_with_uncertainty_guard,0.23279297
2023-02-10,944199.5513096076,7,ppo_with_uncertainty_guard,0.30368325
2023-02-13,953959.4672871134,7,ppo_with_uncertainty_guard,0.324268
2023-02-14,953568.1301753075,7,ppo_with_uncertainty_guard,0.28020734
2023-02-15,956257.3186278945,7,ppo_with_uncertainty_guard,0.267949
2023-02-16,944665.3365415992,7,ppo_with_uncertainty_guard,0.2501397
2023-02-17,942583.1527648121,7,ppo_with_uncertainty_guard,0.3115471
2023-02-21,925763.9435333059,7,ppo_with_uncertainty_guard,0.34635618
2023-02-22,924631.3668468532,7,ppo_with_uncertainty_guard,0.4499739
2023-02-23,928995.6083182484,7,ppo_with_uncertainty_guard,0.4824701
2023-02-24,920185.0804143152,7,ppo_with_uncertainty_guard,0.45552486
2023-02-27,922964.0585829908,7,ppo_with_uncertainty_guard,0.47749737
2023-02-28,919938.0280952192,7,ppo_with_uncertainty_guard,0.44985828
2023-03-01,916825.5042422726,7,ppo_with_uncertainty_guard,0.43945023
2023-03-02,923100.7058190643,7,ppo_with_uncertainty_guard,0.4365591
2023-03-03,936128.3891174527,7,ppo_with_uncertainty_guard,0.38486588
2023-03-06,936697.6490396197,7,ppo_with_uncertainty_guard,0.28309846
2023-03-07,924174.9601729831,7,ppo_with_uncertainty_guard,0.2390378
2023-03-08,925488.2212962727,7,ppo_with_uncertainty_guard,0.2945473
2023-03-09,910498.8555701794,7,ppo_with_uncertainty_guard,0.30934983
2023-03-10,898912.6955752138,7,ppo_with_uncertainty_guard,0.4014031
2023-03-13,897785.9043250398,7,ppo_with_uncertainty_guard,0.49368766
2023-03-14,910814.2836630319,7,ppo_with_uncertainty_guard,0.51970774
2023-03-15,905803.4386493862,7,ppo_with_uncertainty_guard,0.43551832
2023-03-16,919772.3036325292,7,ppo_with_uncertainty_guard,0.41597435
2023-03-17,910351.4974689119,7,ppo_with_uncertainty_guard,0.31293482
2023-03-20,917990.2505519958,7,ppo_with_uncertainty_guard,0.32276464
2023-03-21,928478.4597508973,7,ppo_with_uncertainty_guard,0.27708495
2023-03-22,914591.4315458307,7,ppo_with_uncertainty_guard,0.20318791
2023-03-23,916737.090625735,7,ppo_with_uncertainty_guard,0.26135725
2023-03-24,921905.3824943111,7,ppo_with_uncertainty_guard,0.27454075
2023-03-27,923372.4708671354,7,ppo_with_uncertainty_guard,0.25615323
2023-03-28,921610.963392349,7,ppo_with_uncertainty_guard,0.24667035
2023-03-29,932768.7134934234,7,ppo_with_uncertainty_guard,0.25881305
2023-03-30,937360.1027622645,7,ppo_with_uncertainty_guard,0.20307226
2023-03-31,948327.8110722685,7,ppo_with_uncertainty_guard,0.16664416
2023-04-03,951374.672851422,7,ppo_with_uncertainty_guard,0.102230005
2023-04-04,946955.8192144758,7,ppo_with_uncertainty_guard,0.08060443
2023-04-05,944895.8668473007,7,ppo_with_uncertainty_guard,0.11969237
2023-04-06,947879.1266246709,7,ppo_with_uncertainty_guard,0.16768496
2023-04-10,948671.176495813,7,ppo_with_uncertainty_guard,0.18630376
2023-04-11,948865.4583052027,7,ppo_with_uncertainty_guard,0.20457564
2023-04-12,945759.700390184,7,ppo_with_uncertainty_guard,0.22296317
2023-04-13,955975.4463542048,7,ppo_with_uncertainty_guard,0.25915998
2023-04-14,954033.8173523846,7,ppo_with_uncertainty_guard,0.21937819
2023-04-17,956842.2278127084,7,ppo_with_uncertainty_guard,0.22608559
2023-04-18,957351.8511292331,7,ppo_with_uncertainty_guard,0.21914689
2023-04-19,957206.7579533267,7,ppo_with_uncertainty_guard,0.22377269
2023-04-20,952835.9184931652,7,ppo_with_uncertainty_guard,0.23533717
2023-04-21,953450.1617300316,7,ppo_with_uncertainty_guard,0.2723435
2023-04-24,954292.1340720179,7,ppo_with_uncertainty_guard,0.28795555
2023-04-25,941480.0664775735,7,ppo_with_uncertainty_guard,0.29315957
2023-04-26,938063.9435436958,7,ppo_with_uncertainty_guard,0.36948514
2023-04-27,953995.677322913,7,ppo_with_uncertainty_guard,0.41192678
2023-04-28,960908.5752885845,7,ppo_with_uncertainty_guard,0.3309754
2023-05-01,960063.7018994624,7,ppo_with_uncertainty_guard,0.25881305
2023-05-02,950655.6211890834,7,ppo_with_uncertainty_guard,0.23614667
2023-05-03,944915.8606414816,7,ppo_with_uncertainty_guard,0.28286716
2023-05-04,939032.9192346268,7,ppo_with_uncertainty_guard,0.33421347
2023-05-05,954276.5300777153,7,ppo_with_uncertainty_guard,0.38579106
2023-05-08,954492.2518508814,7,ppo_with_uncertainty_guard,0.31640416
2023-05-09,950861.9480871279,7,ppo_with_uncertainty_guard,0.28830248
2023-05-10,954739.7183371856,7,ppo_with_uncertainty_guard,0.2955881
2023-05-11,953277.554867921,7,ppo_with_uncertainty_guard,0.27720058
2023-05-12,952162.5261273518,7,ppo_with_uncertainty_guard,0.28147945
2023-05-15,955079.2933966856,7,ppo_with_uncertainty_guard,0.290731
2023-05-16,949421.3019836561,7,ppo_with_uncertainty_guard,0.28078556
