agent,annualized_return,annualized_volatility,capital_preservation_rate_95pct_hwm,drawdown_floor,fast_window,final_portfolio_value,max_drawdown,meets_95pct_preservation_goal,seed,sharpe_ratio,slow_window,ticker,var_95,var_95_violation_rate
stop_loss_10pct,0.044457669664396945,0.20820857312203195,0.8977307554890636,0.1,20,1188607.9419640324,0.42121101545662587,False,-1,0.20891426557445544,50,MSFT,-0.022586444461861532,0.04995004995004995
stop_loss_5pct,0.14744588872529424,0.2930006875639272,0.7985340517036456,0.05,20,1726909.6991915826,0.2655757856363873,False,-1,0.4694133405358552,50,NFLX,-0.026033509984319636,0.04995004995004995
stop_loss_10pct,0.2930528841934217,0.319605029567121,0.8302637475075481,0.1,20,2775649.9661331056,0.18968665736124835,False,-1,0.8041358799340943,50,NFLX,-0.02706556591202869,0.04995004995004995
stop_loss_5pct,0.2848479566703341,0.3687739171002798,0.8645734688695393,0.05,20,2706345.8379701367,0.5302714610957613,False,-1,0.6796583765134278,50,NVDA,-0.033883402268706675,0.04995004995004995
stop_loss_10pct,0.28742612575185184,0.3888735420844519,0.8790446060019638,0.1,20,2727981.557389574,0.6554861762885472,False,-1,0.6496838776029948,50,NVDA,-0.03720854538496354,0.04995004995004995
stop_loss_5pct,0.156876963697907,0.323296902990327,0.7636645256271446,0.05,20,1783983.018481992,0.35937352265768274,False,-1,0.45074366274089883,50,ORCL,-0.025529850102207874,0.04995004995004995
stop_loss_10pct,0.09630920332981027,0.33362688996294027,0.6530252632963733,0.1,20,1440863.9917107613,0.34697473670362666,False,-1,0.27560495745190433,50,ORCL,-0.027413968184342608,0.04995004995004995
stop_loss_5pct,0.04639465934218452,0.20812436546171686,0.7243739894323834,0.05,20,1197388.161524795,0.28711594052786893,False,-1,0.21790126868016815,50,PGR,-0.019504176158051223,0.04995004995004995
stop_loss_10pct,0.22975349526617267,0.2205707812369652,0.8106286861875959,0.1,20,2273931.1770146335,0.21460979996666052,False,-1,0.9376291317596913,50,PGR,-0.01977931069400718,0.04995004995004995
stop_loss_5pct,0.36790957881213615,0.5249432693289994,0.7969316163872738,0.05,20,3470964.6522083567,0.5526896372872936,False,-1,0.5967952028767431,50,PLTR,-0.05290554170444928,0.04995004995004995
stop_loss_10pct,0.28476566286396066,0.5379779662306726,0.8493037541055337,0.1,20,2705657.3586436356,0.6531404942425452,False,-1,0.46577421377167605,50,PLTR,-0.052314379166773506,0.04995004995004995
stop_loss_5pct,0.11005548935681271,0.24315738643031012,0.8739648954990591,0.05,20,1513976.661911622,0.3781803815962441,False,-1,0.4293924106323584,50,PPLT,-0.02187340431152407,0.04995004995004995
stop_loss_10pct,0.17766217646516558,0.26971622320832545,0.8739648954990592,0.1,20,1914741.3197444181,0.3215182970681998,False,-1,0.606308247657522,50,PPLT,-0.024061287619655758,0.04995004995004995
stop_loss_5pct,-0.08596573915103864,0.25300640994168483,0.666079314918666,0.05,20,699736.0912492804,0.471000523224967,False,-1,-0.35527624511732064,50,QCOM,-0.025763365671348737,0.04995004995004995
stop_loss_10pct,-0.11326705367827226,0.26300621521401707,0.5873768380896087,0.1,20,620328.2766015476,0.4629258250441268,False,-1,-0.4570665545781831,50,QCOM,-0.026657159668660668,0.04995004995004995
stop_loss_5pct,0.059159933494660574,0.16336781439176098,0.9676064503722394,0.05,20,1256471.9522831703,0.2833708923394961,True,-1,0.3518197431406753,50,QQQ,-0.01800548014542258,0.04995004995004995
stop_loss_10pct,0.043174218436455206,0.17590095027996883,0.9755540737820539,0.1,20,1182816.755952949,0.4157375159682628,True,-1,0.24029523291253954,50,QQQ,-0.01968963493484921,0.04995004995004995
stop_loss_5pct,0.04587929017058492,0.22158378995672695,0.9856973847066594,0.05,20,1195047.311830203,0.2577754837870244,True,-1,0.20244227020836544,50,REGN,-0.018926542840125293,0.04995004995004995
stop_loss_10pct,0.07581757345391951,0.22807964079951656,0.9737077965435755,0.1,20,1336819.919002739,0.3246884067734106,True,-1,0.32041814361483045,50,REGN,-0.02158970069520194,0.04995004995004995
