agent,annualized_return,annualized_volatility,bootstrap_paths,capital_preservation_rate_95pct_hwm,device,final_portfolio_value,fold_id,max_drawdown,meets_95pct_preservation_goal,seed,sharpe_ratio,ticker,timesteps,uncertainty_mode,var_95,var_95_violation_rate
ppo_with_uncertainty_guard,0.26369677200455416,0.225321046945824,32,0.9352297910878464,cpu,2484722.264954224,test_legacy,0.277148247876977,False,13,1.0387010430796473,CAT,50000,aleatoric,-0.02101018274979678,0.05
ppo_with_uncertainty_guard,0.33077178621769066,0.29180616643554247,32,0.924873295681525,cpu,3038260.8112149537,test_legacy,0.34047139360408696,False,19,0.9792764572278009,CAT,50000,aleatoric,-0.027271955316963668,0.05
ppo_with_uncertainty_guard,0.17084855712946534,0.1632109323131511,32,0.9392277355720027,cpu,1846680.267724672,test_legacy,0.20778451059724035,False,23,0.9664094971428917,CAT,50000,aleatoric,-0.015343288327627035,0.05
ppo_with_uncertainty_guard,0.09353392010957369,0.08711594228217304,32,0.9813626671971409,cpu,1415840.5291636456,test_legacy,0.11965551305854927,True,29,1.026384093882409,CAT,50000,aleatoric,-0.007816315945645158,0.05
ppo_with_uncertainty_guard,0.32692083246316156,0.2782086833703604,32,0.9249416474158543,cpu,3004212.1912590605,test_legacy,0.3396426700726257,False,37,1.0167221587443087,CAT,50000,aleatoric,-0.026920689759053127,0.05
ppo_with_uncertainty_guard,0.31512576469830306,0.27225146701575026,32,0.9268351603653137,cpu,2901686.95435233,test_legacy,0.3340782783794294,False,42,1.0061732371476935,CAT,50000,aleatoric,-0.02640778587742725,0.05
ppo_with_uncertainty_guard,0.32549686694681146,0.277955598879336,32,0.9249655694674686,cpu,2991694.122318851,test_legacy,0.3390714322626306,False,53,1.0137850191555364,CAT,50000,aleatoric,-0.026329631755252512,0.05
ppo_with_uncertainty_guard,0.32123137407563757,0.27658230708775583,32,0.9252895222629712,cpu,2954428.0244641453,test_legacy,0.3370166873737107,False,67,1.0071649338471373,CAT,50000,aleatoric,-0.02656460363192954,0.05
ppo_with_uncertainty_guard,0.3265198018385466,0.2721152944303739,32,0.924897889570832,cpu,3000682.8059876906,test_legacy,0.3401088593501854,False,89,1.0383784495559996,CAT,50000,aleatoric,-0.025988064916550348,0.05
ppo_with_uncertainty_guard,0.22272750948819767,0.32017975241142815,32,0.9639416313081798,cpu,2185825.232185029,test_legacy,0.39702886195348563,True,7,0.6280344889740361,COPX,50000,aleatoric,-0.031687378454818574,0.05
ppo_with_uncertainty_guard,0.22685925628086526,0.31162872483748566,32,0.963943816984909,cpu,2214689.7357327915,test_legacy,0.3966361722992394,True,13,0.6560927576466189,COPX,50000,aleatoric,-0.03015714655961803,0.05
ppo_with_uncertainty_guard,0.21417736831671186,0.3316992130058445,32,0.9639414283761384,cpu,2126982.1869022762,test_legacy,0.3972159406181567,True,19,0.5850682904328207,COPX,50000,aleatoric,-0.03400993576702751,0.05
ppo_with_uncertainty_guard,0.21229467439917235,0.33120919733736787,32,0.9639414199286549,cpu,2114185.0114109213,test_legacy,0.39722458105902314,True,23,0.5812486430489308,COPX,50000,aleatoric,-0.03368932359334966,0.05
ppo_with_uncertainty_guard,0.22644439875203565,0.2854548568430921,32,0.9640296910723781,cpu,2211778.8139933073,test_legacy,0.39033985417077477,True,29,0.7150662601058623,COPX,50000,aleatoric,-0.026076725046877587,0.05
ppo_with_uncertainty_guard,0.21310576644851106,0.3074192568598064,32,0.9639548111297563,cpu,2119691.188224482,test_legacy,0.395881354332125,True,37,0.6284047475820989,COPX,50000,aleatoric,-0.030054010541286844,0.05
ppo_with_uncertainty_guard,0.20779490749338597,0.3146589949012202,32,0.9639572066633356,cpu,2083830.6503094349,test_legacy,0.39576624340638933,True,42,0.6000025880249933,COPX,50000,aleatoric,-0.03071083369277181,0.05
ppo_with_uncertainty_guard,0.12627426492799282,0.1908025021920866,32,0.9780065508990508,cpu,1587955.7740008654,test_legacy,0.2489884354852111,True,53,0.6232359339768532,COPX,50000,aleatoric,-0.019014812516703828,0.05
ppo_with_uncertainty_guard,0.16152827037957612,0.25544496085347956,32,0.9708096554946994,cpu,1790167.2451193712,test_legacy,0.31383411771702807,True,67,0.5861791867888112,COPX,50000,aleatoric,-0.026263535475321297,0.05
ppo_with_uncertainty_guard,0.012482849184505401,0.08089766246252866,32,0.9406564823724027,cpu,1049426.6057518823,test_legacy,0.16017760503031586,False,89,0.15334876258559965,COPX,50000,aleatoric,-0.007794935417601856,0.05
