agent,annualized_return,annualized_volatility,bootstrap_paths,capital_preservation_rate_95pct_hwm,final_portfolio_value,fold_id,max_drawdown,meets_95pct_preservation_goal,seed,sharpe_ratio,test_window,ticker,timesteps,train_window,var_95,var_95_violation_rate
ppo_with_uncertainty_guard,0.03847504196777475,0.11229291353796761,0,0.9997241276759418,1074398.8462629793,wf_2022_2023,0.1422425632622205,True,7,0.3362035654302733,2022-01-01/2023-12-31,QQQ,10000,2009-01-01/2021-12-31,-0.01163158993426272,0.05010438413361169
ppo_standalone,-0.012852772126759279,0.017985695979902915,0,0.9721780298495815,975711.0169267702,wf_2022_2023,0.030518972971246616,True,19,-0.719236523697802,2022-01-01/2023-12-31,QQQ,10000,2009-01-01/2021-12-31,0.0,0.020876826722338204
ppo_with_uncertainty_guard,0.11935631988554962,0.22933180922322297,0,0.9995140092307114,1239021.2060934354,wf_2022_2023,0.24089929411926758,True,19,0.4916619636869354,2022-01-01/2023-12-31,QQQ,10000,2009-01-01/2021-12-31,-0.022512048236344204,0.05010438413361169
ppo_standalone,-0.0120597517479111,0.023505238955294758,0,0.9733364748027759,977201.4610694905,wf_2022_2023,0.03106571129968405,True,42,-0.5161818870461267,2022-01-01/2023-12-31,QQQ,10000,2009-01-01/2021-12-31,0.0,0.022964509394572025
ppo_with_uncertainty_guard,0.10139184907250116,0.21962282057018945,0,0.9995189897069107,1201497.3510169776,wf_2022_2023,0.24668035093359253,True,42,0.4397294745964411,2022-01-01/2023-12-31,QQQ,10000,2009-01-01/2021-12-31,-0.021648448154401832,0.05010438413361169
ppo_standalone,0.008950044623061678,0.010224622693839329,0,0.9982204671085289,1017080.7450962587,wf_2024_2025,0.008073501155037022,True,7,0.8714347988963937,2024-01-01/2025-12-31,QQQ,10000,2009-01-01/2023-12-31,0.0,0.022964509394572025
ppo_with_uncertainty_guard,0.12130112222840143,0.12295325364794418,0,0.9819971415517059,1243116.2684822239,wf_2024_2025,0.14194689482908007,True,7,0.9311634795966252,2024-01-01/2025-12-31,QQQ,10000,2009-01-01/2023-12-31,-0.013696149893528896,0.05010438413361169
ppo_standalone,0.010606637153727139,0.012425096093035784,0,0.9977340760320129,1020257.3080533718,wf_2024_2025,0.009196691912953803,True,19,0.8491400401355672,2024-01-01/2025-12-31,QQQ,10000,2009-01-01/2023-12-31,0.0,0.033402922755741124
ppo_with_uncertainty_guard,0.20353297349994648,0.1965039473520118,0,0.9778565693594794,1422112.791274234,wf_2024_2025,0.22535453624795665,True,19,0.9427862834576468,2024-01-01/2025-12-31,QQQ,10000,2009-01-01/2023-12-31,-0.020128749221666454,0.05010438413361169
ppo_standalone,0.011188933219391807,0.012238684873229988,0,0.9974845204761063,1021374.9921830568,wf_2024_2025,0.00925788178140452,True,42,0.9091381908349622,2024-01-01/2025-12-31,QQQ,10000,2009-01-01/2023-12-31,0.0,0.029227557411273485
ppo_with_uncertainty_guard,0.20667864567962208,0.19311454671833134,0,0.9786157311960914,1429186.308099176,wf_2024_2025,0.21445077093582565,True,42,0.9728501204932501,2024-01-01/2025-12-31,QQQ,10000,2009-01-01/2023-12-31,-0.019844517906640213,0.05010438413361169
ppo_standalone,-0.008241049827306448,0.020099369501442664,0,0.9840222546332503,984361.2983560663,wf_2018_2019,0.03365238538399351,True,7,-0.41171090689626316,2018-01-01/2019-12-31,XLK,10000,2009-01-01/2017-12-31,0.0,0.014583333333333334
ppo_with_uncertainty_guard,0.09613971842645147,0.11074015586772093,0,0.9999144028227912,1191063.9374797104,wf_2018_2019,0.12856612993553984,True,7,0.8289181861001715,2018-01-01/2019-12-31,XLK,10000,2009-01-01/2017-12-31,-0.012580740030928171,0.05
ppo_standalone,-0.00652309730293432,0.01779662787972104,0,0.9872715621817366,987611.7254496876,wf_2018_2019,0.030101536113494753,True,19,-0.36773299675591625,2018-01-01/2019-12-31,XLK,10000,2009-01-01/2017-12-31,0.0,0.014583333333333334
ppo_with_uncertainty_guard,0.16105022568242014,0.18161555762450446,0,0.9998913394185388,1329002.2862099805,wf_2018_2019,0.22025008413581937,True,19,0.8222028658826912,2018-01-01/2019-12-31,XLK,10000,2009-01-01/2017-12-31,-0.018021978969819583,0.05
ppo_standalone,-0.006748418513763523,0.02878062465071372,0,0.9867563011184841,987185.1197295169,wf_2018_2019,0.04726651247027491,True,42,-0.2352712906303842,2018-01-01/2019-12-31,XLK,10000,2009-01-01/2017-12-31,0.0,0.020833333333333332
ppo_with_uncertainty_guard,0.18612094721643452,0.20247139392827698,0,0.9998912385715086,1384197.463306326,wf_2018_2019,0.23775411685743475,True,42,0.8430234876235699,2018-01-01/2019-12-31,XLK,10000,2009-01-01/2017-12-31,-0.020796304219170378,0.05
ppo_standalone,-0.0005367082091582273,0.018251156127227112,0,0.9682497166421565,998973.6904960278,wf_2020_2021,0.03627522106687198,True,7,-0.029414444510977824,2020-01-01/2021-12-31,XLK,10000,2009-01-01/2019-12-31,0.0,0.022821576763485476
ppo_with_uncertainty_guard,0.26991975306301536,0.20511269007167338,0,0.9965717307856197,1579402.1438735218,wf_2020_2021,0.1936500326158329,True,7,1.164986558804375,2020-01-01/2021-12-31,XLK,10000,2009-01-01/2019-12-31,-0.019663254965419076,0.05186721991701245
ppo_standalone,0.011781874126013133,0.009262952907793883,0,0.999935017958605,1022656.2942373612,wf_2020_2021,0.0020056891174075053,True,19,1.2644787919093772,2020-01-01/2021-12-31,XLK,10000,2009-01-01/2019-12-31,0.0,0.01037344398340249
ppo_with_uncertainty_guard,0.2718480368842686,0.20580861963332764,0,0.9956714213255835,1583992.3767540003,wf_2020_2021,0.17338091512179576,True,19,1.1684194999722546,2020-01-01/2021-12-31,XLK,10000,2009-01-01/2019-12-31,-0.021451904659809083,0.05186721991701245
ppo_standalone,0.005930195023281167,0.015967944233121343,0,0.976657623767498,1011373.3653166512,wf_2020_2021,0.02409470707030159,True,42,0.3702807173316993,2020-01-01/2021-12-31,XLK,10000,2009-01-01/2019-12-31,0.0,0.022821576763485476
ppo_with_uncertainty_guard,0.30750354786301226,0.2150893603775324,0,0.9960537852061233,1670013.9697698057,wf_2020_2021,0.19078671749333254,True,42,1.2465490253440656,2020-01-01/2021-12-31,XLK,10000,2009-01-01/2019-12-31,-0.020808004662863054,0.05186721991701245
ppo_standalone,-0.020221854613843054,0.028965025879582558,0,0.9570864049372538,961912.7465587974,wf_2022_2023,0.04742483099879302,True,7,-0.705298981159643,2022-01-01/2023-12-31,XLK,10000,2009-01-01/2021-12-31,0.0,0.04801670146137787
ppo_with_uncertainty_guard,0.0663729598783262,0.13808678673034436,0,1.0,1129924.657125538,wf_2022_2023,0.1539844182146003,True,7,0.46538166867581826,2022-01-01/2023-12-31,XLK,10000,2009-01-01/2021-12-31,-0.013815496797874615,0.05010438413361169
ppo_standalone,-0.01181894722641771,0.016099851404052422,0,0.9740964522335405,977654.2551215299,wf_2022_2023,0.028888553348441093,True,19,-0.7384682442791097,2022-01-01/2023-12-31,XLK,10000,2009-01-01/2021-12-31,0.0,0.031315240083507306
