date,baseline_value,prob_value,uncertainty_aleatoric,uncertainty_epistemic
2022-07-01,997943.0162297995,858767.4133689159,0.34200948,0.5170728
2022-07-05,997943.0162297995,860333.2782179292,0.33004096,0.19962758
2022-07-06,997943.0162297995,863146.3778146347,0.3164041,0.5467957
2022-07-07,997943.0162297995,875695.8700235764,0.29797983,0.46353
2022-07-08,997943.0162297995,874992.805487316,0.23980558,0.46983147
2022-07-11,997943.0162297995,865241.963205213,0.21499811,0.42863077
2022-07-12,997943.0162297995,857769.2116025162,0.24125631,0.5045232
2022-07-13,997943.0162297995,853364.0163475714,0.28731698,0.48470235
2022-07-14,997943.0162297995,851336.110983823,0.33207196,0.29691425
2022-07-15,997943.0162297995,867243.8538246622,0.36964586,0.79613245
2022-07-18,997943.0162297995,860230.2549097256,0.32655922,0.77984786
2022-07-19,997943.0162297995,883020.3222438949,0.32844514,0.47284624
2022-07-20,997943.0162297995,888533.37852468,0.23654144,0.39757854
2022-07-21,997943.0162297995,897384.8216228818,0.17945524,0.5006018
2022-07-22,997943.0162297995,889220.4547598637,0.11547807,0.27264944
2022-07-25,997943.0162297995,890279.519967758,0.12664868,0.46042645
2022-07-26,997943.0162297995,879932.8641670331,0.14137359,0.18379465
2022-07-27,997943.0162297995,902403.4729629967,0.20092604,0.33124757
2022-07-28,997943.0162297995,913546.0533883629,0.15145616,0.58003056
2022-07-29,997943.0162297995,926676.9970615742,0.103582084,0.49475646
2022-08-01,997943.0162297995,923972.7962741463,0.038661942,0.39167768
2022-08-02,997943.0162297995,917961.9940710625,0.033221703,0.40668172
2022-08-03,997943.0162297995,932151.7056792589,0.06716877,0.26749757
2022-08-04,997943.0162297995,931529.877459227,0.050630458,0.44778252
2022-08-05,997943.0162297995,929972.6731865077,0.06890965,0.21932192
2022-08-08,997943.0162297995,928903.7204065681,0.0970538,0.338865
2022-08-09,997943.0162297995,925250.2315449337,0.1300579,0.32300878
2022-08-10,997943.0162297995,944499.672656652,0.17524812,0.38793388
2022-08-11,997943.0162297995,944499.0459274526,0.14006793,0.60516864
2022-08-12,997943.0162297995,960358.6901287466,0.13825452,0.17958814
2022-08-15,997943.0162297995,964284.4898442139,0.09103327,0.30930296
2022-08-16,997943.0162297995,966156.1683474086,0.066298336,0.60854405
2022-08-17,997943.0162297995,959351.4258760399,0.06455746,0.5107669
2022-08-18,997943.0162297995,962118.7192863493,0.10256657,0.27762824
2022-08-19,997943.0162297995,949281.9553366003,0.12795433,0.26785153
2022-08-22,997943.0162297995,929654.998794755,0.20121618,0.5125545
2022-08-23,997943.0162297995,927423.0121773011,0.31988585,0.4724135
2022-08-24,997943.0162297995,930367.0359075504,0.39184204,0.3645945
2022-08-25,997943.0162297995,943391.5396054479,0.42586163,0.5295281
2022-08-26,997943.0162297995,911723.6061956697,0.3909716,0.53851813
2022-08-29,997943.0162297995,905743.0646175524,0.4858493,0.42329025
2022-08-30,997943.0162297995,895882.809066837,0.53749526,0.5064273
2022-08-31,997943.0162297995,889123.5288972695,0.59450895,0.9999998
2022-09-01,997943.0162297995,891889.6202140384,0.63643503,0.53659403
2022-09-02,997943.0162297995,882567.4471740009,0.6270053,0.38115197
2022-09-06,997943.0162297995,879266.9858643377,0.63890123,0.5734584
2022-09-07,997943.0162297995,894922.3353759113,0.6336786,0.391023
2022-09-08,997943.0162297995,900720.1089334423,0.5499715,0.55900913
2022-09-09,997943.0162297995,914590.7461976964,0.47337303,0.27588615
2022-09-12,997943.0162297995,924333.4239263341,0.3631901,0.65286493
2022-09-13,997943.0162297995,884469.365737093,0.26599124,0.42234376
2022-09-14,997943.0162297995,887813.8601221583,0.3635528,0.4720662
2022-09-15,997943.0162297995,877828.3009257467,0.39068145,0.39724565
2022-09-16,997943.0162297995,871193.7277236644,0.44994375,0.48973885
2022-09-19,997943.0162297995,877886.3473259378,0.49970376,0.3826555
2022-09-20,997943.0162297995,867903.431343981,0.48809794,0.31089303
2022-09-21,997943.0162297995,852906.9652761794,0.51116455,0.6534408
2022-09-22,997943.0162297995,845811.9226340705,0.5682507,0.4840621
2022-09-23,997943.0162297995,831778.877339306,0.6112649,0.73059374
2022-09-26,997943.0162297995,823632.1412176051,0.6768378,0.21842647
2022-09-27,997943.0162297995,821550.7407166512,0.71549976,0.28125885
2022-09-28,997943.0162297995,837553.1890798304,0.72318864,0.6286811
2022-09-29,997943.0162297995,820234.3200659652,0.63512933,0.35099298
2022-09-30,997943.0162297995,807681.3367725007,0.640352,0.4250057
2022-10-03,997943.0162297995,828781.6319644008,0.66639256,0.63626415
2022-10-04,997943.0162297995,854200.5215033909,0.5685409,0.19848247
2022-10-05,997943.0162297995,852231.4611622387,0.40417323,0.5050791
