agent,annualized_return,annualized_volatility,bootstrap_paths,capital_preservation_rate_95pct_hwm,device,final_portfolio_value,fold_id,max_drawdown,meets_95pct_preservation_goal,seed,sharpe_ratio,test_window,ticker,timesteps,train_window,var_95,var_95_violation_rate
ppo_standalone,-0.003990749619544229,0.02560295905007071,16,0.9919775761167994,cpu,992412.2970487548,wf_2018_2019,0.040665292098331474,True,37,-0.15618152219129966,2018-01-01/2019-12-31,XLK,50000,2009-01-01/2017-12-31,0.0,0.03125
ppo_with_uncertainty_guard,0.18169726302864345,0.19728937526629264,16,0.9998911511868949,cpu,1374380.8779083667,wf_2018_2019,0.23601967141267854,True,37,0.8462271674283276,2018-01-01/2019-12-31,XLK,50000,2009-01-01/2017-12-31,-0.019516582058298936,0.05
ppo_standalone,-0.007473597823588627,0.0252721695377359,16,0.9853808857317833,cpu,985812.7157522292,wf_2018_2019,0.04213879852238911,True,42,-0.29683316082246247,2018-01-01/2019-12-31,XLK,50000,2009-01-01/2017-12-31,0.0,0.027083333333333334
ppo_with_uncertainty_guard,0.17976873299223314,0.1967779843267556,16,0.9998911785802561,cpu,1370111.6709378338,wf_2018_2019,0.23220357972766414,True,42,0.8401259799430002,2018-01-01/2019-12-31,XLK,50000,2009-01-01/2017-12-31,-0.019679316107114174,0.05
ppo_standalone,-0.015464292999723725,0.0209608829677734,16,0.9704161469143527,cpu,970750.3708380727,wf_2018_2019,0.03734250767294811,True,53,-0.743527568988246,2018-01-01/2019-12-31,XLK,50000,2009-01-01/2017-12-31,0.0,0.010416666666666666
ppo_with_uncertainty_guard,0.17707100275294385,0.19708829626156568,16,0.9998911531893546,cpu,1364150.2638041973,wf_2018_2019,0.23418947344846752,True,53,0.8271877297268243,2018-01-01/2019-12-31,XLK,50000,2009-01-01/2017-12-31,-0.019703268261195284,0.05
ppo_standalone,-0.003282318990931212,0.02102806822153731,16,0.9933909009611143,cpu,993757.2481846256,wf_2018_2019,0.03462284095288082,True,67,-0.15634782816961085,2018-01-01/2019-12-31,XLK,50000,2009-01-01/2017-12-31,0.0,0.022916666666666665
ppo_with_uncertainty_guard,0.17393699502345547,0.1894916063438956,16,0.9998911512153454,cpu,1357240.2828702866,wf_2018_2019,0.23591335616974585,True,67,0.8462797998629081,2018-01-01/2019-12-31,XLK,50000,2009-01-01/2017-12-31,-0.018497768682952477,0.05
ppo_standalone,-0.005994032609624956,0.036340168827394416,16,0.9739998846870448,cpu,988613.7596652339,wf_2018_2019,0.047205503805565874,True,89,-0.1654379400062791,2018-01-01/2019-12-31,XLK,50000,2009-01-01/2017-12-31,0.0,0.04583333333333333
ppo_with_uncertainty_guard,0.18750000304062403,0.19989415008845493,16,0.9998911510721646,cpu,1387264.507063445,wf_2018_2019,0.2378072307019149,True,89,0.859705613881668,2018-01-01/2019-12-31,XLK,50000,2009-01-01/2017-12-31,-0.020220737930520816,0.05
