arm,ticker,final_portfolio_value,sharpe_ratio,max_drawdown,capital_preservation_rate_95pct_hwm
A,IBM,1004324.9056413993,0.33643047507803336,0.0029377644234331868,0.9970622355765668
A,IJR,996310.7443975665,-0.11898189958015107,0.020167014903306302,0.991869427831103
A,JNJ,1000686.5414171554,0.06301331767608831,0.04688110382693872,0.9891904587297224
A,JPM,1005655.6593019762,0.22974752690427186,0.00713245433268811,0.9964879650818999
A,LLY,2740242.999024029,1.1350820997541953,0.27418431875989957,0.9769630554848113
A,MA,987575.2264585681,-0.5127709483416625,0.01867311038358227,0.9823354070252788
A,MCD,1001393.6236070839,0.11247579978288177,0.0042487090265840854,0.9957512909734159
A,META,886334.4580321021,-0.5351873037386249,0.12102028103293383,0.8814050987726181
A,MSFT,995211.3386980006,-0.1297812735671673,0.015602094286749302,0.9884896915376198
A,NFLX,952863.6783742722,-0.6917713585312133,0.049066725507028175,0.9528636783742721
A,NVDA,1007632.4888570064,0.10233487597532556,0.021802844956865408,0.9872189705975082
A,ORCL,1003773.3164447366,0.16781913697147413,0.006842012227190053,0.9957503841724369
A,PGR,1002412.6958557017,0.19558104051007325,0.004198760398466339,0.9958012396015337
A,PLTR,967419.5658471589,-0.4107314798057279,0.05197072684821902,0.9674195658471589
A,PPLT,994106.0485652264,-0.056109174084897594,0.05587627464745609,0.9483051469838599
A,QCOM,1006766.8864957069,0.09673244151389565,0.02595058120681193,0.9792752179358578
A,QQQ,992844.7120705763,-0.20730769858075357,0.016159999629498656,0.9892769674675137
A,REGN,1063672.845981109,0.2955478105698165,0.08433257184407339,0.9413948662913206
A,RY,999821.1388694558,-0.021343750831874706,0.0029679519210089045,0.9971044946221391
A,RYTM,894458.284928496,-0.3094511389768937,0.3831145396076487,0.7571750611478425
A,SAP,993265.2409668844,-0.2744090514574265,0.012299916762250396,0.9932652409668844
A,SCHB,997334.5612836522,-0.12927353319538565,0.009517365992875448,0.9947090108920555
A,SCHD,999490.691465188,-0.04174396102706441,0.00580683213664368,0.9959138886422454
A,SCHF,1000389.7749272805,0.025390623720714996,0.006190678219739176,0.9968878284409868
A,SCHG,993862.908751763,-0.18868026274332658,0.01495406047006298,0.9914789216424938
A,SCHK,997811.9846080153,-0.1005947380924305,0.009784781787669505,0.9942127990051273
A,SCHV,1000202.9169492582,0.01502645041800728,0.005710851024555708,0.9963728113568324
A,SCHW,1007211.4227098156,0.24826586986790644,0.00802506044797574,0.9929117855037695
A,SLV,1029511.422257387,0.3825864677780221,0.05113258705732682,0.9504614295355156
A,SNY,1009678.0684360352,0.3968048630976492,0.0070422526980361555,0.9944065831008173
A,SPOT,929410.24256469,-0.49388121084286074,0.08782005216309785,0.92941024256469
A,SPY,997940.7594231849,-0.09699945645399788,0.00940177462630365,0.9936467888293466
A,SPYG,995063.0175533253,-0.15102795319698342,0.014716473379839168,0.9900473502161842
A,SPYV,1000273.5042220154,0.027218553090061402,0.004601000169883074,0.9974087678595613
A,SPYX,997416.7453802656,-0.11407858007012459,0.010038029689616979,0.9931030779118162
A,TAN,944515.6484146577,-0.04720898066465404,0.21974430504075415,0.8230321299828667
A,TMUS,1431370.7710875252,0.668965552227055,0.1834698329051132,0.8360871644663432
A,TSLA,990441.3478007799,-0.25571019810542617,0.01860529491564511,0.9904413478007799
A,TSM,999231.53024462,-0.023793614332618198,0.013852596447702537,0.9952775069841353
A,V,993842.193123169,-0.29839748288361967,0.012880625478569163,0.9879916208304682
A,VOO,997932.954094784,-0.09858334790691091,0.009295966341954176,0.9937191220704059
A,VTI,997647.5163497784,-0.11353393769860108,0.009490202016056881,0.9947396508651015
A,VYM,1000683.0672511719,0.06282894795473892,0.004362025678490644,0.9969836241150711
A,VYMI,1004193.8618407066,0.42487668410444523,0.002540509095189991,0.9978739310266445
A,XLF,1007293.4648020251,0.3935882349592066,0.004434795810427716,0.997017167627308
A,XLI,995830.5085133461,-0.25405307977574954,0.010002047846477402,0.9927744124543294
A,XLK,995301.6309738101,-0.18620992250385363,0.012126488223455634,0.9917236622552849
A,XLU,1025174.5708121307,0.20587004972763245,0.07577483599905249,0.9585775745926746
B,AAPL,1408580.8448196768,0.4738875746068433,0.22472283382744335,0.9668147691037545
B,AMAT,1760441.0117050535,0.45595114254198177,0.3637647325659259,0.966378395063282
B,AMD,1045227.7114635499,0.24149554763350722,0.12176381829684063,0.951900308537484
B,AMZN,1614697.6467201617,0.42315233051316326,0.3355333936969726,0.9204519447457283
B,AVGO,6107096.147066793,1.0900701237773884,0.4098171816450544,0.8479054372167798
B,AXP,2162674.6090972614,0.8084368343202161,0.27517500287871366,0.9759318178546619
B,BA,1092681.88595291,0.10921169028641403,0.30765223178039847,0.8880668121002131
B,BLK,1219432.1961494097,0.21441138272407412,0.17701331339336823,0.9407141454597685
