agent,ticker,fold_id,metric,n,mean,std,median,q25,q75,min,max
ppo_standalone,SCHD,test_legacy,var_95,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ppo_standalone,SCHD,test_legacy,var_95_violation_rate,10,0.004693877551020408,0.00086048371705262,0.004081632653061225,0.004081632653061225,0.00510204081632653,0.004081632653061225,0.006122448979591836
ppo_standalone,SCHD,test_legacy,capital_preservation_rate_95pct_hwm,10,0.9953130157344052,0.0013422489673306324,0.9959138029544087,0.9955658836075585,0.9960771984240326,0.9925184583160743,0.9961889078027012
ppo_standalone,SCHF,test_legacy,final_portfolio_value,10,999888.0582063838,1007.7583672469001,1000389.8149743993,999631.2209347127,1000450.2161035717,997301.8597616589,1000557.9178902009
ppo_standalone,SCHF,test_legacy,annualized_return,10,-2.887363616925972e-05,0.00025933285237537593,0.00010022328963862675,-9.48484346504694e-05,0.0001157505008366212,-0.0006945038923091434,0.0001434348802823153
ppo_standalone,SCHF,test_legacy,annualized_volatility,10,0.004397280228982821,0.0008974254360283199,0.003940340044442862,0.0037819167568879514,0.004964574243322213,0.003769897947128266,0.006186935729103577
ppo_standalone,SCHF,test_legacy,sharpe_ratio,10,0.0004838666361199444,0.05060006760257076,0.02539426557670727,-0.017562584721710912,0.03042620235062942,-0.12668196690105224,0.03769883574072834
ppo_standalone,SCHF,test_legacy,max_drawdown,10,0.006717441574546778,0.0009592225140910408,0.006190677998916927,0.006190677998916927,0.00698549777248661,0.006190677998916927,0.009029315984343311
ppo_standalone,SCHF,test_legacy,var_95,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ppo_standalone,SCHF,test_legacy,var_95_violation_rate,10,0.004489795918367347,0.0018126411693162217,0.004081632653061225,0.003061224489795918,0.004846938775510204,0.003061224489795918,0.00816326530612245
ppo_standalone,SCHF,test_legacy,capital_preservation_rate_95pct_hwm,10,0.9958538504175983,0.0018135304572398073,0.9968878173610193,0.9954519797185193,0.9969480070480048,0.9924400839283039,0.997055331810204
ppo_standalone,SCHG,test_legacy,final_portfolio_value,10,992829.3968008626,2039.5436581441493,993862.9630621228,993335.2853798297,993862.9630621228,987838.4849032364,993862.9630621228
ppo_standalone,SCHG,test_legacy,annualized_return,10,-0.001849163672899742,0.0005279525955083834,-0.0015817053141435461,-0.0017180436181452694,-0.0015817053141435461,-0.0031414735775011577,-0.0015817053141435461
